cod_componente;descripcion_componente;unidad_origen;unidad_destino;factor_a_unidad_destino;uso_conversion;estado_parametrizacion
14002692;AVALANCHA OREO CJ(63UN);CJ;KG;11,844;PRESENTACION_PRODUCTO_A_KG;PARAMETRIZADO
14003025;SUNDAE DE CHOCOLATE CJ(105UN);CJ;KG;13,125;PRESENTACION_PRODUCTO_A_KG;PARAMETRIZADO
12002518;MIX VERDURAS ENSALADA KFC;BOL;KG;2;PRESENTACION_PRODUCTO_A_KG;PARAMETRIZADO
14002428;LECHUGA BATAVIA PROCESADA BOL(1KG);BOL;KG;1;PRESENTACION_PRODUCTO_A_KG;PARAMETRIZADO
14002427;BIG CRUNCH MARINADO BOL(10UN);BOL;KG;0,55;PRESENTACION_PRODUCTO_A_KG;PARAMETRIZADO
14002441;STRIPS MARINADO BOL(20UN);BOL;KG;0,95;PRESENTACION_PRODUCTO_A_KG;PARAMETRIZADO
11001128;BASE HELADO VAINILLA CJX13.2KG;CJ;KG;13,20;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
12002544;GALLETA TRITURADA;CJ;KG;5,83;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
11001132;SALSA DE AREQUIPE BOLX5KG;BTO;KG;5;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
18001665;SEPARADOR HELADO KFC BOLX50UN;BTO;UN;50;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
18001501;VASO AVALANC OREO KFC 12OZ CJX16BOLX50UN;BTO;UN;50;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
15005756;TAPA PAPEL AVALANCHA CJX20BOL(50UN);BTO;UN;50;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
18001664;CAJA HELADOS C790 50X34 BTOX25UN;BTO;UN;25;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
11001137;SALSA DE CHOCOLATE CJX12KG;CJ;KG;12,00;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
18001885;VASO SUNDAE CHOCOLATE 7.25OZ CJX35BOLX50;CJ;UN;1750;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
18001776;TAPA PAPEL 7.25OZ CJX35BOLX50UN;CJ;UN;1750;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
18001932;SEPARADOR HELADO TROQUELADO BOL(50UN);BTO;UN;50;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
11000096;CEBOLLA;KG;KG;1;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
11000143;COL REPOLLO;KG;KG;1;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
11000285;HOJAS VERDES DE COL;KG;KG;1;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
11000624;ZANAHORIA;KG;KG;1;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
12000496;MIX ADEREZO ENSALADA KFC;KG;KG;1;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
18001591;BOLSA ENSALADA IMPRESA BTOX10BOLX100UN;BTO;UN;100;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
11000312;LECHUGA (REPOLLO);KG;KG;1;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
18001589;BOLSA PARA GRANOS BTOX2500UN;BTO;UN;2500;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
14002446;CARNE BIG CRUNCH;KG;UN;18,181818;UNIDAD_BASE_A_UNIDADES;PARAMETRIZADO
14002440;CARNE DE STRIPS;KG;UN;21,052632;UNIDAD_BASE_A_UNIDADES;PARAMETRIZADO
18001586;BOLSA FUELLE  BTOX50BOLX100UN;BTO;UN;100;RECETA_A_UNIDAD_BASE;PARAMETRIZADO
